"brainregion","disease","count"
"Cerebral cortex","Sturge-Weber Syndrome","5"
"Prefrontal Cortex","Huntington Disease","5"
"Substantia nigra structure","Menkes Kinky Hair Syndrome","5"
"Telencephalon","Huntington Disease","5"
"Brain Stem","Machado-Joseph Disease","5"
"Superior colliculus of corpora quadrigemina","Schinzel-Giedion syndrome","5"
"Surface of brain","cortex bone disorders","5"
"Thalamic structure","Disorders, Mental","5"
"Structure of lateral olfactory gyrus","Renal glomerular disease","5"
"Stria medullaris","cortex bone disorders","5"
"Cerebral cortex","Shwachman syndrome","5"
"Pineal gland","cortex bone disorders","5"
"Structure of terminal stria nuclei of preoptic region","Depressive disorder","5"
"Structure of locus ceruleus","Substance Withdrawal Syndrome","5"
"Structure of purkinje cell layer of cerebellar cortex","cortex bone disorders","5"
"Cerebral cortex","Disorder of pineal gland","5"
"Orbitofrontal cortex","Sensitization (disorder)","5"
"Longitudinal pontine fibers","Leigh Disease","5"
"Structure of rubrospinal tract","Leigh Disease","5"
"Telencephalon","Neurotoxicity Syndromes","5"
"Pars Compacta","Shy-Drager Syndrome","5"
"Paracentral sulcus","Autistic Disorder","5"
"Structure of olfactory bulb","Lewy Body Disease","5"
"Hypothalamic structure","Narcolepsy-Cataplexy Syndrome","5"
"Cerebral cortex","Rabies (disorder)","5"
"Central insular sulcus","Clinically isolated syndrome","5"
"Area striata structure","Adult Fanconi syndrome","5"
"Organ of Corti structure","Diseases of inner ear","5"
"Prefrontal Cortex","neuropathology disease","5"
"Brain Stem","Sensitization (disorder)","5"
"Dentatothalamic tract","Syndrome","5"
"Genus Hippocampus","Hypertrophic disorder of skin, unspecified","5"
"Structure of dentate gyrus","Neurotoxicity Syndromes","5"
"Hindbrain","Pituitary Diseases","5"
"Entire thalamic reticular nucleus","Depressive disorder","5"
"mossy fiber","Functional disorder","5"
"Gigantocellular nucleus","cortex bone disorders","5"
"Cerebellum","Van der Woude syndrome","5"
"Entire medial geniculate body","cortex bone disorders","5"
"Olfactory tubercle","Alzheimer's Disease","5"
"Lobe, Frontal","Pervasive Development Disorder","5"
"Cerebral hemisphere structure (body structure)","Acquired Immunodeficiency Syndrome","5"
"Structure of entorhinal cortex","Depressive disorder","5"
"Occipital lobe","Functional disorder","5"
"Hypothalamic structure","Sudden infant death syndrome","5"
"Structure of nucleus cuneatus","Spinal Cord Diseases","5"
"Cerebellum","Rett Syndrome","5"
"Cochlear Nerve","cortex bone disorders","5"
"Neostriatum","Immunologic Deficiency Syndromes","5"
"Periamygdaloid Area","Alzheimer's Disease","5"
"Cochlear nucleus structure","Diseases of inner ear","5"
"Median eminence of hypothalamus","cortex bone disorders","5"
"Neostriatum","Melkersson-Rosenthal Syndrome","5"
"Gyrus Cinguli","Depressive disorder","5"
"Prosencephalon","Nose Diseases","5"
"Structure of central sulcus","Sweet Syndrome","5"
"Substantia Nigra Pars Reticulata","Huntington Disease","5"
"Nucleus solitarius","Depressive disorder","5"
"Central gray substance of midbrain","Macrophage Activation Syndrome","5"
"Entire geniculate body","cortex bone disorders","5"
"Cerebellar vermis structure","Spinal Cord Diseases","5"
"Midbrain structure","Alzheimer's Disease","5"
"Genus Hippocampus","Timothy syndrome","5"
"Inferior Colliculus","Ovarian Diseases","5"
"Pretectal region","cortex bone disorders","5"
"Reticular Formation","Depressive disorder","5"
"Dorsal Nucleus Raphe","Sensitization (disorder)","5"
"Basal Forebrain","Disorder nervous system","5"
"Flocculonodular lobe","cortex bone disorders","5"
"Anterodorsal nucleus of thalamus","Familial Alzheimer Disease (FAD)","5"
"BRAIN, HIPPOCAMPUS","Machado-Joseph Disease","5"
"CA2 field","DISORDERS OF THE OPTIC NERVE","5"
"Genus Hippocampus","Gilles de la Tourette syndrome","5"
"Structure of spiral ganglion","Diseases of inner ear","5"
"Cerebral cortex","Dyskinetic syndrome","5"
"Superior temporal gyrus","Alzheimer's Disease","5"
"Structure of trigeminal nerve mesencephalic nucleus","Spinal Cord Diseases","5"
"Type 2 vestibular sensory cell","Functional disorder","5"
"Structure of rubrospinal tract","Disorders, Mental","4"
"Pituitary Gland","Polycystic Ovary Syndrome","4"
"Paracentral Thalamic Nucleus","Alzheimer's Disease","4"
"Paracentral Thalamic Nucleus","Disease Progression","4"
"Inferior olivary nucleus","Retinal Diseases","4"
"Gonadotrophs","Ovarian Diseases","4"
"Neostriatum","Norrie disease","4"
"Corpus striatum structure","Renal glomerular disease","4"
"Hypothalamic structure","Gardner Syndrome","4"
"BRAIN, HIPPOCAMPUS","Occlusion of artery (disorder)","4"
"Dorsal Nucleus Raphe","Hypertensive disease","4"
"Lobe, Frontal","Liver diseases","4"
"Structure of pars magnocellularis of dorsomedial nucleus of thalamus","Meleda Disease","4"
"Dorsal Nucleus Raphe","Anxiety Disorders","4"
"Parietal operculum cortex (PO)","Polycystic Ovary Syndrome","4"
"Tegmentum Mesencephali","Alzheimer's Disease","4"
"BRAIN, HIPPOCAMPUS","Burnett Schwartz Berberian syndrome","4"
"Structure of paraventricular nucleus of thalamus","Neurodevelopmental disorder","4"
"Structure of central sulcus","Depressive disorder","4"
"Nucleus solitarius","Van der Woude syndrome","4"
"Caudate nucleus structure","Disease Progression","4"
"Pyramidal Cells","Huntington Disease","4"
"BRAIN, HIPPOCAMPUS","Dysequilibrium syndrome","4"
"Inferior frontal gyrus","Mesulam Syndrome","4"
"Globus Pallidus","Neurotoxicity Syndromes","4"
"Cerebral hemisphere structure (body structure)","Van der Woude syndrome","4"
"Structure of lateral olfactory gyrus","Spinal Cord Diseases","4"
"Genus Hippocampus","Communicable Diseases","4"
"Cerebral cortex","Deglutition Disorders","4"
"central amygdalar nucleus","Skin endocrine disorder","4"
"Nuclei, Raphe","Functional disorder","4"
"Paracentral Thalamic Nucleus","Neurodegenerative Disorders","4"
"Pontine structure","Parkinson Disease","4"
"Inferior olivary nucleus","cortex bone disorders","4"
"Ventral Tegmental Area","Mood Disorders","4"
"Triangular Septal Nucleus","Hamartoma Syndrome, Multiple","4"
"Genus Hippocampus","Mohr-Tranebjaerg syndrome","4"
"Prosencephalon","Syndrome","4"
"Structure of cingulum","Obsessive-Compulsive Disorder","4"
"Thalamic structure","Hamartoma Syndrome, Multiple","4"
"Midbrain Raphe Nuclei","Obsessive-Compulsive Disorder","4"
"Set of basolateral nuclei of amygdala","Disorders, Mental","4"
"Somatosensory Cortex","Fragile X Syndrome","4"
"Prefrontal Cortex","Stereotypic Movement Disorder","4"
"Thalamic structure","Obsessive-Compulsive Disorder","4"
"Cerebral hemisphere structure (body structure)","Disorder of pineal gland","4"
"Medulla Oblongata","Disease of thymus gland","4"
"Pituitary Gland","Mood Disorders","4"
"Structure of rubrospinal tract","Norrie disease","4"
"CA2 field","Parkinson Disease","4"
"Telencephalon","Parkinson Disease","4"
"Structure of subthalamic nucleus","Disease Progression","4"
"Midbrain structure","Psychotic Disorders","4"
"Structure of lateral mammillary nucleus","Pendred's syndrome","4"
"Preoptic Areas","Skin endocrine disorder","4"
"Interpeduncular nucleus","Alzheimer's Disease","4"
"Tuberomammillary Nucleus","Spinal Cord Diseases","4"
"Structure of olfactory bulb","Alzheimer's Disease","4"
"Structure of middle temporal gyrus","Mesulam Syndrome","4"
"Cochlear Nerve","Auditory neuropathy spectrum disorder","4"
"Corpus striatum structure","Basal Ganglia Diseases","4"
"Brain White Matter","Bipolar Disorder","4"
"Cerebral cortex","Opitz-Frias syndrome","4"
"Brain Stem","Virus Diseases","4"
"Genus Hippocampus","Conjunctival Diseases","4"
"Orbitofrontal cortex","Autistic Disorder","4"
"Marginal Sulcus","Recurrent disease","4"
"Structure of medial preoptic nucleus","Spinal Cord Diseases","4"
"Structure of rubrospinal tract","Neurodegenerative Disorders","4"
"Corpus striatum structure","Norrie disease","4"
"Structure of central sulcus","Timothy syndrome","4"
"Neostriatum","Leigh Disease","4"
"Insula of Reil","Obsessive-Compulsive Disorder","4"
"Substantia nigra structure","Brain Diseases","4"
"Parietal Lobe","Major Depressive Disorder","4"
"Pars Compacta","Spinal Cord Diseases","4"
"Orbitofrontal cortex","Disorders, Mental","4"
"Tectopontine fibers","Retinal Diseases","4"
"Nucleus of optic tract","Retinal Diseases","4"
"Auditory area","Fragile X Syndrome","4"
"Structure of angular gyrus","Liver diseases","4"
"Brodmann area 9","cortex bone disorders","4"
"Structure of lateral globus pallidus","cortex bone disorders","4"
"Nucleus solitarius","Retinal Diseases","4"
"BRAIN, HIPPOCAMPUS","Developmental delay (disorder)","4"
"Basal Forebrain","Depressive disorder","4"
"Right hippocampus","cortex bone disorders","4"
"Medulla Oblongata","Nose Diseases","4"
"Lobe, Frontal","Disorders, Mental","4"
"Genus Hippocampus","Bloom Syndrome","4"
"Vestibular ganglion","Diseases of inner ear","4"
"CA3 field","Fetal Alcohol Syndrome","4"
"Interpeduncular nucleus","Spinal Cord Diseases","4"
"Structure of olfactory bulb","Niemann-Pick Disease, Type C","4"
"Neostriatum","Gardner Syndrome","4"
"Cerebral cortex","CNS disorder","4"
"Structure of diencephalon","Neurodegenerative Disorders","4"
"Parietal Lobe","Parkinson Disease","4"
"Structure of angular gyrus","Neurodegenerative Disorders","4"
"Temporal Lobe","Shy-Drager Syndrome","4"
"BRAIN, HIPPOCAMPUS","Stereotypic Movement Disorder","4"
"Structure of subthalamic nucleus","Impulse Control Disorders","4"
"Islands of Calleja","cortex bone disorders","4"
"Genus Hippocampus","Motor Neuron Disease","4"
"Structure of middle temporal gyrus","Alzheimer's Disease","4"
"Lateral habenular nucleus","Mood Disorders","4"
"Medulla Oblongata","Bloom Syndrome","4"
"Brain Stem","CNS disorder","4"
"Longitudinal pontine fibers","cortex bone disorders","4"
"Amygdaloid structure","Sweet Syndrome","4"
"Structure of thalamic fasciculus","Parkinson Disease","4"
"Lateral ventricle structure","Prune Belly Syndrome","4"
"Structure of optic radiation","cortex bone disorders","4"
"Structure of nucleus gracilis","Liver diseases","4"
"Posterior Thalamic Nuclei","cortex bone disorders","4"
"Pontine structure","Functional disorder","4"
"Motor Cortex","Depressive disorder","4"
"Prosencephalon","Migraine Disorders","4"
"Temporal Lobe","Disorder nervous system","4"
"Structure of terminal stria nuclei of preoptic region","Anxiety Disorders","4"
"Structure of piriform area","Spinal Cord Diseases","4"
"Cerebellar tonsil","Fechtner syndrome (disorder)","4"
"Paracentral sulcus","Functional disorder","4"
"CA1 field","Hodgkin Disease","4"
"Lateral habenular nucleus","Hamartoma Syndrome, Multiple","4"
"Structure of suprachiasmatic nucleus","cortex bone disorders","4"
"Medulla Oblongata","neuropathology disease","4"
"BRAIN, HIPPOCAMPUS","Stiff-Person Syndrome","4"
"Neocortex","Disorders, Mental","4"
"Medial lemniscus","Spinal Cord Diseases","4"
"Cerebellum","Sensitization (disorder)","4"
"Structure of supramammillary nucleus","Alzheimer's Disease","4"
"Posterior cerebral commissure","Disease Progression","4"
"Lateral habenular nucleus","Anxiety Disorders","4"
"Brain Stem","Dystonia Disorders","4"
"Cerebral Peduncle","Hamartoma Syndrome, Multiple","4"
"Paracentral Thalamic Nucleus","Hamartoma Syndrome, Multiple","4"
"Periventricular white matter","cortex bone disorders","4"
"BRAIN, HIPPOCAMPUS","Alcohol use disorder","4"
"Median eminence of hypothalamus","Spinal Cord Diseases","4"
"BRAIN, HIPPOCAMPUS","Narcolepsy-Cataplexy Syndrome","4"
"Auditory pathway structure","Diseases of inner ear","4"
"CA3 field","Van der Woude syndrome","4"
"Lateral habenular nucleus","Recurrent disease","4"
"Structure of subthalamic nucleus","Sensitization (disorder)","4"
"Basal Forebrain","Renal glomerular disease","4"
"Cerebellar cortex structure","Neurotoxicity Syndromes","4"
"Structure of lateral lemniscus nucleus (body structure)","Spinal Cord Diseases","4"
"BRAIN, HIPPOCAMPUS","Ovarian Diseases","4"
"Entire hypothalamus","Pituitary Diseases","4"
"Lateral Dorsal Nucleus","Disorder of pineal gland","4"
"Structure of suprachiasmatic nucleus","Jet Lag Syndrome","4"
"Posterior cerebral commissure","Hamartoma Syndrome, Multiple","4"
"CA1 field","Major Depressive Disorder","4"
"Planum temporale (PT)","Hamartoma Syndrome, Multiple","4"
"CA1 field","Werner Syndrome","4"
"Cerebral cortex","Alcohol use disorder","4"
"Neocortex","Rett Syndrome","4"
"Orbitofrontal cortex","Bipolar Disorder","4"
"Brain Stem","Melkersson-Rosenthal Syndrome","4"
"Motor Cortex","Syndrome","4"
"Cerebral cortex","Schizoaffective Disorder","4"
"Cerebral hemisphere structure (body structure)","Pituitary Diseases","4"
"Structure of zona incerta","cortex bone disorders","4"
"Tegmentum Mesencephali","Parkinson Disease","4"
"Inferior Colliculus","Lung Diseases, Interstitial","4"
"Lateral habenular nucleus","Pituitary Diseases","4"
"Nucleus Accumbens","Hamartoma Syndrome, Multiple","4"
"Genus Hippocampus","Neurodevelopmental disorder","4"
"Nucleus, Principal Pretectal","cortex bone disorders","4"
"Neocortex","Disorder nervous system","4"
"CA3 field","Li-Fraumeni Syndrome","4"
"Basal Nucleus of Meynert","Retinal Diseases","4"
"Brain White Matter","Migraine Disorders","4"
"Cerebral cortex","Familial Alzheimer Disease (FAD)","4"
"Pyramidal Cells","Hashimoto Disease","4"
"Medullary pyramid","Spinal Cord Diseases","4"
"BRAIN, HIPPOCAMPUS","Degenerative disorder","4"
"Midbrain structure","Huntington Disease","4"
"Lobe, Frontal","Disorder nervous system","4"
"Nucleus Accumbens","Mucocutaneous Lymph Node Syndrome","4"
"Preoptic Areas","Functional disorder","4"
"Brodmann area 25","Depressive disorder","4"
"Structure of lateral corticospinal tract","Spinal Cord Diseases","4"
"Pedunculopontine Tegmental Nucleus","Movement Disorders","4"
"CA3 field","Rett Syndrome","4"
"Midbrain structure","Brain Diseases","4"
"Thalamic structure","Syndrome","4"
"Structure of choroid plexus","Disorder nervous system","4"
"Rostrotemporal auditory area","Alzheimer's Disease","4"
"Cerebellum","Diseases of inner ear","4"
"Medial Dorsal Nucleus","Down Syndrome","4"
"Lateral Septal Nucleus","Bloom Syndrome","4"
"Ventral Tegmental Area","Disease Progression","4"
"Basal Ganglia","Leigh Disease","4"
"Parolfactory area structure (body structure)","Neurodegenerative Disorders","4"
"Insula of Reil","Alzheimer's Disease","4"
"Pallidus Nucleus, Raphe","cortex bone disorders","4"
"Pontine structure","Migraine Disorders","4"
"Flocculus","Fechtner syndrome (disorder)","4"
"Cerebellar Nuclei","Hamartoma Syndrome, Multiple","4"
"Structure of anterior hypothalamic nucleus","Hypertensive disease","4"
"Structure of capsule of red nucleus","Functional disorder","4"
"Cingulate Cortex","Spinal Cord Diseases","4"
"Genus Hippocampus","Kartagener Syndrome","4"
"Anterodorsal nucleus of thalamus","Metabolic Diseases","4"
"Cerebral hemisphere structure (body structure)","Shy-Drager Syndrome","4"
"Structure of angular gyrus","Alzheimer's Disease","4"
"Cerebrum","Neurotoxicity Syndromes","4"
"Central gray substance of midbrain","Alcohol withdrawal syndrome","4"
"Prefrontal Cortex","Disorder nervous system","4"
"Tuberomammillary Nucleus","Alzheimer's Disease","4"
"Structure of rubrospinal tract","DISORDERS OF THE OPTIC NERVE","4"
"BRAIN, HIPPOCAMPUS","Myeloproliferative Syndrome, Transient","4"
"Parietal Lobe","Bipolar Disorder","4"
"Inner Auditory Hair Cells","Functional disorder","4"
"Basal Nucleus of Meynert","Disorders, Mental","4"
"Structure of suprachiasmatic nucleus","Mucocutaneous Lymph Node Syndrome","4"
"Anterodorsal nucleus of thalamus","Sweet Syndrome","4"
"paralemniscal gray","Spinal Cord Diseases","4"
"central amygdalar nucleus","Anxiety Disorders","4"
"Structure of rubrospinal tract","Neurotoxicity Syndromes","4"
"Cerebral cortex","Burnett Schwartz Berberian syndrome","4"
"Brain Stem","Sensorineural hearing loss (disorder)","4"
"CA1 field","Gardner Syndrome","4"
"Thalamic structure","Cognition Disorders","4"
"Occipital lobe","Lewy Body Disease","4"
"Structure of precuneus","Alzheimer's Disease","4"
"Inferior olivary nucleus","Nail-Patella Syndrome","4"
"Olfactory tubercle","Neurotoxicity Syndromes","4"
"Structure of nucleus infundibularis hypothalami","Metabolic Diseases","4"
"Subthalamic structure","Disorder of pineal gland","4"
"Nucleus solitarius","Skin endocrine disorder","4"
"Entire spiral ganglion","Diseases of inner ear","4"
"Gyrus Cinguli","Functional disorder","4"
"Motor Cortex","Disorder nervous system","4"
"Cerebral Ventricles","Meningeal disorder","4"
"Posterior cerebral commissure","Neurodegenerative Disorders","4"
"CA2 field","Disorder nervous system","4"
"Caudate nucleus structure","Spinal Cord Diseases","4"
"CA2 field","Lewy Body Disease","4"
"Structure of terminal stria nuclei of preoptic region","Pituitary Diseases","4"
"Internal capsule of brain","Pervasive Development Disorder","4"
"Pyramidal Cells","Mood Disorders","4"
"BRAIN, HIPPOCAMPUS","Borderline Personality Disorder","4"
"Metencephalon","Disorder nervous system","4"
"Neostriatum","Basal Ganglia Diseases","4"
"Structure of dentate gyrus","Van der Woude syndrome","4"
"Entire tuberomammillary nucleus","Parkinson Disease","4"
