"brainregion","disease","count"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Syndrome","33"
"Cerebral cortex","Psychotic Disorders","32"
"Structure of subthalamic nucleus","cortex bone disorders","32"
"Cerebellum","Liver diseases","32"
"CA3 field","Alzheimer's Disease","32"
"Amygdaloid structure","Pervasive Development Disorder","32"
"Substantia nigra structure","Movement Disorders","32"
"Genus Hippocampus","Van der Woude syndrome","32"
"Cerebrum","Spinal Cord Diseases","32"
"Nucleus Accumbens","Sensitization (disorder)","32"
"Gigantocellular nucleus","Gardner Syndrome","31"
"Neostriatum","Alzheimer's Disease","31"
"BRAIN, HIPPOCAMPUS","Autistic Disorder","31"
"CA2 field","Hamartoma Syndrome, Multiple","31"
"Structure of nucleus infundibularis hypothalami","Pituitary Diseases","31"
"Superior colliculus of corpora quadrigemina","Spinal Cord Diseases","31"
"Structure of locus ceruleus","Neurodegenerative Disorders","31"
"Anterodorsal nucleus of thalamus","Lewy Body Disease","31"
"Ventral Tegmental Area","Recurrent disease","31"
"Genus Hippocampus","Liver diseases","31"
"Medulla Oblongata","Sudden infant death syndrome","31"
"Genus Hippocampus","Disorder nervous system","30"
"Cerebellum","neuropathology disease","30"
"Gyrus Cinguli","Syndrome","30"
"Purkinje Cells","Spinal Cord Diseases","30"
"Motor Cortex","Neurodegenerative Disorders","30"
"BRAIN, HIPPOCAMPUS","Marfan Syndrome","30"
"Cerebral hemisphere structure (body structure)","Vasodilation disorder","30"
"Pineal gland","Retinal Diseases","30"
"Structure of dentate gyrus","cortex bone disorders","30"
"Thalamic structure","Functional disorder","29"
"Structure of rubrospinal tract","cortex bone disorders","29"
"Genus Hippocampus","Syndrome","29"
"Substantia nigra structure","Lewy Body Disease","29"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","29"
"Medial Dorsal Nucleus","cortex bone disorders","29"
"Structure of dentate gyrus","Depressive disorder","29"
"Amygdaloid structure","Disorders, Mental","29"
"Substantia nigra structure","Alzheimer's Disease","29"
"Medulla Oblongata","Functional disorder","29"
"Corpus striatum structure","Depressive disorder","29"
"BRAIN, HIPPOCAMPUS","Brain Diseases","29"
"Cerebellum","Pervasive Development Disorder","29"
"Hypothalamic structure","Retinal Diseases","29"
"Structure of fissure of Sylvius","cortex bone disorders","29"
"Amygdaloid structure","Stress Disorders, Traumatic","28"
"Cerebellum","Disorder nervous system","28"
"Neostriatum","Depressive disorder","28"
"Entire thalamic reticular nucleus","cortex bone disorders","28"
"Cerebral cortex","Meningeal disorder","28"
"Cortex, Primary Motor","Parkinson Disease","28"
"Ventral reticulospinal tract","Rett Syndrome","28"
"Cerebellum","Disease Progression","28"
"Cerebral cortex","Mild cognitive disorder","28"
"Substantia nigra structure","Disease Progression","28"
"Corpus Callosum","Spinal Cord Diseases","28"
"Genus Hippocampus","Parkinson Disease","28"
"Occipital lobe","cortex bone disorders","28"
"Ventral reticulospinal tract","Rothmund-Thomson syndrome","28"
"Bundle, Predorsal","Huntington Disease","27"
"Structure of angular gyrus","Macrophage Activation Syndrome","27"
"Tegmentum Mesencephali","Spinal Cord Diseases","27"
"Prosencephalon","Alzheimer's Disease","27"
"Structure of angular gyrus","Meconium Aspiration Syndrome","27"
"Brodmann area 35","cortex bone disorders","27"
"Structure of lateral olfactory gyrus","Mesulam Syndrome","27"
"Cortex, Primary Motor","Functional disorder","27"
"Structure of angular gyrus","McCune-Albright Syndrome","27"
"Preoptic Areas","Spinal Cord Diseases","27"
"Cerebral cortex","Niemann-Pick Disease, Type C","27"
"BRAIN, HIPPOCAMPUS","Hypertensive disease","27"
"Amygdaloid structure","Post-Traumatic Stress Disorder","27"
"Structure of locus ceruleus","Disease Progression","27"
"Cerebral cortex","Brain Diseases","27"
"Cerebral cortex","Mucocutaneous Lymph Node Syndrome","27"
"Cerebral cortex","Sensitization (disorder)","26"
"Basal Forebrain","Down Syndrome","26"
"Structure of piriform area","cortex bone disorders","26"
"Corpus striatum structure","Alzheimer's Disease","26"
"Purkinje Cells","Autistic Disorder","26"
"Cerebral hemisphere structure (body structure)","Parkinson Disease","26"
"Caudate nucleus structure","Parkinson Disease","26"
"Pituitary Gland","Functional disorder","26"
"Cerebral hemisphere structure (body structure)","Neurotoxicity Syndromes","26"
"BRAIN, HIPPOCAMPUS","Post-Traumatic Stress Disorder","26"
"BRAIN, HIPPOCAMPUS","Autism Spectrum Disorders","26"
"Structure of nucleus prepositus","Communicable Diseases","25"
"Brain Stem","Depressive disorder","25"
"Corpus striatum structure","Dyskinetic syndrome","25"
"Linear nucleus","Spinal Cord Diseases","25"
"BRAIN, HIPPOCAMPUS","Lewy Body Disease","25"
"Lobe, Frontal","Spinal Cord Diseases","25"
"Structure of entorhinal cortex","cortex bone disorders","25"
"Entire substantia nigra","Parkinson Disease","25"
"Structure of central sulcus","Spinal Cord Diseases","25"
"Lateral geniculate complex","DISORDERS OF THE OPTIC NERVE","25"
